,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_EMPLOYED,work_phone,phone,email,family_size,begin_month,credit,age
24,0,0,0,0,12.218500103788143,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,1,0,1.0,5.0,2.0,61
25,0,0,1,1,12.323860125621126,Commercial associate,Secondary / secondary special,Married,House / apartment,3694,0,0,0,3.0,4.0,2.0,38
26,1,1,0,1,11.813037464800539,Working,Higher education,Married,House / apartment,3353,1,0,0,3.0,13.0,2.0,48
27,1,1,1,0,12.91164481522143,State servant,Secondary / secondary special,Married,House / apartment,3500,0,0,0,2.0,57.0,2.0,47
28,1,1,0,0,11.630717389475995,Commercial associate,Secondary / secondary special,Married,With parents,2325,1,1,0,2.0,47.0,2.0,60
29,0,0,1,0,11.707677772181546,Commercial associate,Secondary / secondary special,Married,Co-op apartment,1711,0,1,0,2.0,22.0,0.0,32
30,1,1,0,0,12.323860125621126,Commercial associate,Secondary / secondary special,Married,House / apartment,227,0,0,0,2.0,33.0,2.0,36
31,1,1,1,0,11.813037464800539,Commercial associate,Higher education,Married,House / apartment,3452,1,0,1,2.0,18.0,0.0,32
32,0,0,1,0,11.813037464800539,Working,Higher education,Married,House / apartment,1628,0,0,0,2.0,2.0,0.0,36
33,1,0,1,0,12.218500103788143,Working,Secondary / secondary special,Married,House / apartment,346,0,1,0,2.0,30.0,2.0,52
34,1,1,1,1,12.506180941677357,Working,Secondary / secondary special,Married,House / apartment,1630,0,1,0,3.0,22.0,0.0,39
35,0,1,0,0,12.323860125621126,Working,Higher education,Civil marriage,House / apartment,2433,0,0,0,2.0,20.0,2.0,39
36,0,1,0,0,12.323860125621126,Working,Higher education,Single / not married,House / apartment,1022,1,1,0,1.0,14.0,2.0,55
37,1,1,1,0,13.279368835614243,Commercial associate,Secondary / secondary special,Married,With parents,1646,0,0,0,2.0,8.0,2.0,45
38,0,0,1,0,12.218500103788143,Working,Secondary / secondary special,Married,House / apartment,3472,0,0,0,2.0,41.0,2.0,37
39,1,1,1,2,11.630717389475995,Working,Secondary / secondary special,Married,House / apartment,1600,0,0,0,4.0,39.0,2.0,35
40,1,1,1,0,11.417526281205168,Working,Secondary / secondary special,Married,House / apartment,2426,0,0,0,2.0,21.0,1.0,59
41,0,0,1,2,11.502885230075814,Commercial associate,Higher education,Married,House / apartment,433,0,1,0,4.0,19.0,2.0,34
42,1,0,0,1,12.506180941677357,Working,Secondary / secondary special,Married,House / apartment,554,1,0,0,3.0,35.0,0.0,27
43,0,0,0,0,11.119897691565697,Working,Secondary / secondary special,Married,House / apartment,1876,0,0,0,2.0,8.0,1.0,27
44,1,0,0,0,12.419169901386761,Working,Higher education,Civil marriage,House / apartment,199,0,0,0,2.0,26.0,2.0,41
45,1,1,0,0,12.91164481522143,Working,Higher education,Married,House / apartment,3200,1,1,0,2.0,4.0,0.0,51
46,0,0,0,0,11.813037464800539,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,1,0,1.0,24.0,2.0,57
47,0,1,1,0,12.586223364451623,Commercial associate,Higher education,Married,House / apartment,3482,0,0,0,2.0,48.0,2.0,50
48,0,0,1,0,11.502885230075814,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,2.0,4.0,2.0,64
49,0,0,1,0,13.279368835614243,Commercial associate,Secondary / secondary special,Married,House / apartment,2010,0,1,0,2.0,12.0,2.0,51
50,0,1,0,1,11.407576060361786,Working,Secondary / secondary special,Married,House / apartment,1101,1,0,0,3.0,4.0,2.0,38
51,1,1,1,0,13.112315061750808,Working,Incomplete higher,Married,With parents,1101,0,0,1,2.0,10.0,2.0,24
52,0,0,1,0,10.896757843893464,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,0,2.0,37.0,2.0,65
53,0,1,1,2,12.631343648903034,State servant,Higher education,Married,House / apartment,3965,0,0,0,4.0,42.0,2.0,37
54,0,0,0,1,11.502885230075814,Working,Secondary / secondary special,Married,House / apartment,422,0,0,0,3.0,2.0,1.0,42
55,0,0,1,0,12.100717685412471,Working,Secondary / secondary special,Married,House / apartment,3010,0,0,0,2.0,24.0,2.0,37
56,0,1,1,0,11.779136168550774,Working,Secondary / secondary special,Married,House / apartment,9391,0,1,0,2.0,29.0,2.0,44
57,0,0,1,0,12.323860125621126,Commercial associate,Higher education,Single / not married,House / apartment,642,0,0,0,1.0,3.0,1.0,46
58,0,0,1,0,11.87757552297847,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,2.0,23.0,2.0,63
59,0,0,1,0,12.793862088206213,Pensioner,Higher education,Married,House / apartment,0,0,1,0,2.0,25.0,2.0,62
60,1,1,1,0,11.630717389475995,Pensioner,Secondary / secondary special,Separated,House / apartment,0,0,0,0,1.0,1.0,1.0,58
61,1,1,0,1,12.506180941677357,Commercial associate,Higher education,Married,House / apartment,1371,0,0,0,3.0,15.0,2.0,31
62,0,1,1,0,12.323860125621126,Working,Higher education,Married,House / apartment,3153,0,1,0,2.0,40.0,1.0,47
63,1,1,1,0,12.660331092405906,Working,Higher education,Married,House / apartment,3337,0,0,0,2.0,21.0,2.0,42
64,1,1,0,0,11.119897691565697,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,716,0,0,0,1.0,32.0,2.0,24
65,0,0,1,0,10.609081944147828,Working,Secondary / secondary special,Married,House / apartment,4936,1,0,0,2.0,10.0,2.0,34
66,1,0,1,1,11.87757552297847,Working,Secondary / secondary special,Married,House / apartment,2783,0,0,0,3.0,4.0,1.0,37
67,0,0,1,2,11.967187086434018,Commercial associate,Higher education,Married,House / apartment,1216,0,0,0,4.0,2.0,1.0,33
68,0,0,0,0,12.100717685412471,Working,Secondary / secondary special,Married,House / apartment,1610,0,0,0,2.0,14.0,1.0,28
69,0,0,1,0,11.967187086434018,Working,Higher education,Married,House / apartment,2969,0,0,1,2.0,59.0,2.0,42
70,1,0,1,0,11.302216779257382,Commercial associate,Higher education,Single / not married,House / apartment,1928,0,1,0,1.0,39.0,2.0,27
71,1,1,0,2,12.218500103788143,Working,Secondary / secondary special,Married,House / apartment,3787,0,0,0,4.0,54.0,2.0,43
72,0,0,0,0,12.768544351446794,Commercial associate,Higher education,Married,House / apartment,1081,0,1,0,2.0,4.0,2.0,59
73,0,0,1,0,12.100717685412471,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,0,2.0,34.0,2.0,63
74,0,0,1,1,11.119897691565697,Working,Secondary / secondary special,Married,House / apartment,219,1,1,0,3.0,25.0,2.0,28
75,0,1,1,0,12.660331092405906,Commercial associate,Secondary / secondary special,Married,House / apartment,5500,0,0,1,2.0,34.0,2.0,42
76,0,1,0,0,12.660331092405906,Commercial associate,Higher education,Married,House / apartment,586,1,1,0,2.0,15.0,2.0,37
77,0,0,0,0,11.813037464800539,Working,Higher education,Single / not married,House / apartment,520,0,0,0,1.0,7.0,1.0,26
78,0,1,1,0,11.630717389475995,Working,Secondary / secondary special,Married,House / apartment,231,1,0,0,2.0,23.0,1.0,34
79,0,1,1,1,12.323860125621126,Working,Higher education,Separated,House / apartment,1672,0,0,0,2.0,2.0,0.0,40
80,0,0,1,0,12.419169901386761,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,212,0,0,0,2.0,2.0,1.0,48
81,1,1,1,0,11.813037464800539,Working,Secondary / secondary special,Married,House / apartment,962,0,0,1,2.0,-0.0,0.0,28
82,0,1,1,0,12.283038316285214,Working,Higher education,Civil marriage,House / apartment,1423,0,0,1,2.0,53.0,2.0,41
83,0,0,0,2,12.100717685412471,Working,Higher education,Married,House / apartment,1700,0,0,0,4.0,38.0,1.0,32
84,1,1,1,0,11.813037464800539,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,0,2.0,27.0,2.0,64
85,1,1,0,0,12.12541016250223,Working,Secondary / secondary special,Married,Municipal apartment,1215,0,0,0,2.0,41.0,1.0,49
86,1,1,1,1,11.630717389475995,Working,Secondary / secondary special,Married,House / apartment,451,1,0,1,3.0,45.0,2.0,34
87,0,0,1,0,12.506180941677357,Commercial associate,Secondary / secondary special,Widow,House / apartment,235,1,1,1,1.0,56.0,2.0,36
88,0,1,1,0,12.793862088206213,Commercial associate,Secondary / secondary special,Married,House / apartment,5427,0,0,0,2.0,45.0,2.0,55
89,1,0,0,0,13.017005083966255,Commercial associate,Incomplete higher,Married,House / apartment,4145,1,1,0,2.0,59.0,2.0,39
90,0,0,1,0,10.714439990727769,State servant,Secondary / secondary special,Married,House / apartment,9404,1,0,0,2.0,30.0,2.0,55
91,0,1,1,0,12.218500103788143,Working,Secondary / secondary special,Married,House / apartment,2988,0,0,0,2.0,20.0,2.0,51
92,1,1,1,1,11.813037464800539,Commercial associate,Secondary / secondary special,Married,House / apartment,691,0,0,0,3.0,5.0,2.0,33
93,0,0,1,0,12.218500103788143,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,3629,0,0,0,1.0,22.0,1.0,52
94,0,0,1,0,12.100717685412471,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,2.0,26.0,2.0,65
95,1,0,1,0,11.285409870187191,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,0,2.0,14.0,2.0,44
96,1,0,1,0,13.017005083966255,Commercial associate,Secondary / secondary special,Married,House / apartment,2087,0,0,0,2.0,56.0,2.0,64
97,1,1,1,0,11.967187086434018,Working,Secondary / secondary special,Civil marriage,House / apartment,1212,0,0,0,2.0,46.0,2.0,25
98,1,1,1,0,13.017005083966255,Commercial associate,Higher education,Single / not married,House / apartment,588,0,0,1,1.0,5.0,2.0,29
99,0,0,0,0,12.506180941677357,State servant,Secondary / secondary special,Separated,House / apartment,12332,0,1,1,1.0,35.0,2.0,53
100,0,0,1,0,11.813037464800539,Working,Higher education,Married,House / apartment,8491,0,0,0,2.0,9.0,2.0,60
101,0,0,1,0,11.302216779257382,Working,Secondary / secondary special,Married,House / apartment,3046,1,1,0,2.0,2.0,1.0,53
102,0,0,0,1,11.813037464800539,Commercial associate,Secondary / secondary special,Married,House / apartment,604,0,0,0,3.0,12.0,2.0,33
103,1,1,0,0,12.660331092405906,Working,Higher education,Married,House / apartment,3720,1,1,0,2.0,12.0,2.0,43
104,1,1,1,0,12.323860125621126,Commercial associate,Higher education,Single / not married,House / apartment,2537,0,1,0,1.0,7.0,0.0,43
105,1,1,1,0,11.813037464800539,Commercial associate,Secondary / secondary special,Married,House / apartment,2606,0,0,0,2.0,5.0,2.0,27
106,0,0,0,1,11.407576060361786,Working,Secondary / secondary special,Married,House / apartment,1959,0,1,0,3.0,47.0,2.0,44
107,0,1,0,1,12.631343648903034,Working,Higher education,Married,House / apartment,1678,0,0,0,3.0,4.0,1.0,25
108,0,0,1,0,11.938199736300925,Working,Higher education,Single / not married,House / apartment,683,0,1,0,1.0,22.0,2.0,29
109,0,0,1,0,11.744045122410057,Working,Secondary / secondary special,Married,House / apartment,2234,1,1,0,2.0,13.0,2.0,62
110,1,1,1,0,12.660331092405906,Commercial associate,Higher education,Married,House / apartment,164,0,0,0,2.0,57.0,2.0,35
111,1,1,1,1,12.323860125621126,Working,Secondary / secondary special,Married,House / apartment,2371,0,0,0,3.0,44.0,2.0,44
112,0,0,0,0,12.173037959397275,Working,Secondary / secondary special,Single / not married,House / apartment,201,0,1,0,1.0,4.0,2.0,48
113,0,0,1,2,11.407576060361786,Commercial associate,Secondary / secondary special,Married,House / apartment,1138,0,0,0,4.0,36.0,1.0,47
114,1,1,1,2,11.813037464800539,Working,Higher education,Married,House / apartment,2944,0,0,1,4.0,43.0,2.0,31
115,0,0,0,0,11.302216779257382,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,2.0,49.0,2.0,57
116,0,1,1,1,12.854486546624395,Working,Secondary / secondary special,Married,House / apartment,2751,0,0,0,3.0,11.0,2.0,39
117,0,0,1,0,12.218500103788143,Commercial associate,Secondary / secondary special,Married,House / apartment,674,0,0,0,2.0,27.0,2.0,44
118,0,0,1,0,11.630717389475995,Working,Higher education,Married,House / apartment,5756,0,1,0,2.0,47.0,2.0,50
119,0,0,1,2,11.87757552297847,Working,Secondary / secondary special,Married,House / apartment,1854,1,1,0,4.0,-0.0,1.0,33
120,0,0,1,0,11.967187086434018,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,0,1.0,4.0,1.0,58
121,0,0,0,0,11.87757552297847,Working,Secondary / secondary special,Married,Municipal apartment,9988,1,1,0,2.0,35.0,2.0,45
122,0,1,1,2,12.554970929480584,State servant,Higher education,Married,House / apartment,4120,0,0,0,4.0,39.0,2.0,35
123,0,0,1,0,12.218500103788143,Working,Secondary / secondary special,Married,House / apartment,6226,0,0,0,2.0,48.0,2.0,53
124,0,1,1,2,11.407576060361786,Commercial associate,Secondary / secondary special,Married,House / apartment,3357,0,0,0,4.0,55.0,2.0,42
125,1,0,1,0,12.793862088206213,Commercial associate,Secondary / secondary special,Married,House / apartment,4039,0,0,0,2.0,42.0,2.0,34
126,0,1,0,1,12.075400019877522,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,4983,0,0,0,2.0,45.0,2.0,32
127,1,1,1,1,12.793862088206213,Commercial associate,Higher education,Married,House / apartment,410,0,1,1,3.0,30.0,2.0,45
128,0,0,1,1,11.630717389475995,Working,Secondary / secondary special,Married,House / apartment,5221,0,0,0,3.0,38.0,1.0,37
129,1,0,0,1,12.660331092405906,Working,Secondary / secondary special,Married,House / apartment,1749,0,0,0,3.0,11.0,2.0,48
130,0,0,1,0,12.601490784782536,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,3234,0,0,0,1.0,1.0,0.0,42
131,0,1,0,0,12.218500103788143,Commercial associate,Secondary / secondary special,Civil marriage,With parents,5330,0,1,0,2.0,33.0,0.0,38
132,0,0,0,0,12.323860125621126,Commercial associate,Higher education,Married,House / apartment,429,1,1,0,2.0,35.0,2.0,28
133,0,1,0,1,12.866182555987908,Working,Higher education,Married,House / apartment,2574,0,0,0,3.0,22.0,2.0,36
134,0,1,1,0,11.813037464800539,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,0,1.0,6.0,2.0,62
135,1,1,0,1,12.729323752253295,Commercial associate,Higher education,Separated,House / apartment,196,0,1,0,2.0,23.0,0.0,42
136,0,0,0,1,12.323860125621126,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,399,0,0,0,3.0,29.0,2.0,34
137,0,1,1,1,12.323860125621126,Commercial associate,Secondary / secondary special,Married,House / apartment,3246,0,0,0,3.0,46.0,2.0,37
138,0,0,1,0,10.896757843893464,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,2.0,2.0,0.0,66
139,0,1,0,0,11.967187086434018,Commercial associate,Secondary / secondary special,Married,House / apartment,982,0,1,0,2.0,39.0,2.0,37
140,1,1,1,1,12.100717685412471,Working,Higher education,Married,With parents,1680,1,0,0,3.0,15.0,0.0,32
141,0,1,1,1,11.630717389475995,Commercial associate,Higher education,Civil marriage,House / apartment,3000,0,0,1,3.0,12.0,2.0,28
142,1,1,1,0,12.793862088206213,Working,Higher education,Married,House / apartment,1934,0,1,0,2.0,11.0,2.0,61
143,0,1,1,0,12.45488784222084,Commercial associate,Secondary / secondary special,Married,House / apartment,1071,0,0,1,2.0,45.0,2.0,37
144,0,1,0,0,12.100717685412471,Working,Secondary / secondary special,Married,House / apartment,1322,0,0,0,2.0,8.0,2.0,28
145,0,1,0,0,12.218500103788143,State servant,Secondary / secondary special,Married,House / apartment,11940,0,1,0,2.0,7.0,2.0,53
146,0,0,0,0,12.419169901386761,Working,Higher education,Married,House / apartment,7400,1,1,0,2.0,6.0,1.0,38
147,0,0,1,0,11.967187086434018,Working,Higher education,Married,House / apartment,709,0,0,0,2.0,11.0,1.0,34
148,1,1,1,0,12.323860125621126,Working,Secondary / secondary special,Married,House / apartment,808,0,1,0,2.0,26.0,2.0,39
149,0,0,1,2,11.630717389475995,Working,Secondary / secondary special,Married,House / apartment,2379,0,0,0,4.0,49.0,1.0,35
150,0,1,0,1,11.967187086434018,Working,Higher education,Married,House / apartment,2828,0,0,0,3.0,41.0,2.0,32
151,1,1,1,0,12.793862088206213,Commercial associate,Secondary / secondary special,Married,House / apartment,314,0,0,0,2.0,33.0,2.0,42
152,0,1,1,0,12.793862088206213,Working,Secondary / secondary special,Separated,House / apartment,574,1,0,0,1.0,35.0,2.0,29
153,1,1,1,0,12.100717685412471,Commercial associate,Secondary / secondary special,Married,House / apartment,3476,0,0,0,2.0,32.0,1.0,49
154,0,0,0,0,12.075400019877522,Working,Secondary / secondary special,Married,House / apartment,10993,1,0,0,2.0,46.0,2.0,51
155,0,0,1,0,11.407576060361786,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,2.0,35.0,2.0,55
156,1,0,1,1,11.813037464800539,Working,Secondary / secondary special,Separated,House / apartment,880,0,0,0,2.0,38.0,2.0,45
157,1,0,1,2,11.967187086434018,Working,Secondary / secondary special,Married,House / apartment,1447,0,0,0,4.0,44.0,2.0,27
158,1,0,1,1,12.218500103788143,State servant,Higher education,Married,House / apartment,2355,0,0,0,3.0,39.0,2.0,29
159,0,0,1,0,11.938199736300925,Pensioner,Higher education,Married,House / apartment,0,0,1,0,2.0,51.0,1.0,59
160,0,1,1,1,11.184435286790631,Working,Secondary / secondary special,Married,House / apartment,1266,0,0,0,3.0,11.0,2.0,46
161,1,1,1,2,12.793862088206213,Working,Secondary / secondary special,Married,House / apartment,839,0,1,0,4.0,33.0,0.0,36
162,0,0,0,1,13.199326270390594,Working,Secondary / secondary special,Separated,House / apartment,2045,1,0,0,2.0,60.0,2.0,44
163,0,0,1,0,11.952798440998814,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,2.0,24.0,2.0,60
164,1,1,1,0,12.149507585033072,Working,Secondary / secondary special,Married,House / apartment,829,0,0,1,2.0,3.0,1.0,57
165,0,0,1,0,11.845827048676645,State servant,Higher education,Married,House / apartment,895,1,1,0,2.0,4.0,1.0,57
166,0,0,1,0,13.112315061750808,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,1,0,1.0,15.0,2.0,59
167,1,1,0,0,13.036807667689546,Commercial associate,Secondary / secondary special,Married,House / apartment,119,1,1,0,2.0,14.0,2.0,43
168,0,0,0,0,11.967187086434018,Working,Secondary / secondary special,Married,House / apartment,9870,1,1,0,2.0,21.0,1.0,53
169,0,0,1,1,12.323860125621126,Working,Secondary / secondary special,Separated,House / apartment,3792,0,0,0,2.0,3.0,1.0,38
170,1,1,1,1,13.017005083966255,Commercial associate,Secondary / secondary special,Married,House / apartment,678,0,1,1,3.0,60.0,2.0,49
171,0,0,0,0,11.813037464800539,Working,Secondary / secondary special,Married,House / apartment,869,0,0,0,2.0,2.0,0.0,42
172,1,0,1,1,11.813037464800539,Working,Secondary / secondary special,Married,House / apartment,8091,0,0,0,3.0,49.0,1.0,43
173,0,0,1,0,12.149507585033072,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,2.0,19.0,0.0,63
174,0,0,1,0,12.323860125621126,Commercial associate,Higher education,Married,House / apartment,1040,0,0,1,2.0,15.0,2.0,29
175,1,0,1,0,11.630717389475995,Working,Secondary / secondary special,Married,House / apartment,1376,0,0,0,2.0,2.0,1.0,29
176,0,1,0,0,12.660331092405906,State servant,Higher education,Married,House / apartment,9957,1,0,0,2.0,26.0,2.0,49
177,0,0,0,0,11.967187086434018,Commercial associate,Higher education,Single / not married,Rented apartment,1415,0,0,0,1.0,22.0,1.0,32
178,1,0,0,0,11.744045122410057,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,2.0,12.0,2.0,55
179,1,1,1,0,12.660331092405906,Commercial associate,Secondary / secondary special,Married,Rented apartment,2026,0,0,0,2.0,19.0,2.0,46
180,0,1,1,0,13.487007879880162,Commercial associate,Higher education,Separated,House / apartment,4814,1,1,0,1.0,58.0,2.0,56
181,0,0,1,0,11.407576060361786,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,2.0,5.0,0.0,56
182,0,0,1,2,11.119897691565697,Working,Higher education,Married,House / apartment,961,1,0,0,4.0,12.0,0.0,28
183,0,0,1,0,11.967187086434018,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,0,2.0,42.0,1.0,62
184,1,1,0,0,12.323860125621126,Working,Secondary / secondary special,Married,Office apartment,995,0,0,1,2.0,46.0,2.0,41
185,0,0,1,0,12.100717685412471,Working,Lower secondary,Widow,House / apartment,2227,1,1,0,1.0,49.0,2.0,46
186,0,1,1,0,12.283038316285214,Working,Higher education,Married,House / apartment,1809,0,0,0,2.0,10.0,2.0,50
187,0,1,1,1,11.967187086434018,Commercial associate,Secondary / secondary special,Married,House / apartment,4239,0,0,0,3.0,4.0,1.0,37
188,0,0,0,0,11.630717389475995,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,0,1.0,26.0,0.0,54
189,0,0,1,0,11.630717389475995,Working,Secondary / secondary special,Married,House / apartment,4574,0,0,0,2.0,44.0,2.0,45
190,0,0,1,0,11.407576060361786,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,1,0,1.0,13.0,0.0,63
191,0,0,0,0,11.707677772181546,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,2.0,28.0,2.0,58
192,0,0,1,0,11.813037464800539,Working,Higher education,Married,House / apartment,1628,0,0,0,2.0,14.0,2.0,36
193,1,1,0,0,12.218500103788143,Commercial associate,Secondary / secondary special,Married,House / apartment,2574,0,0,0,2.0,22.0,0.0,44
194,1,1,0,1,12.437188334739655,State servant,Higher education,Married,House / apartment,1650,1,1,0,3.0,19.0,1.0,34
195,0,0,1,0,12.218500103788143,Working,Secondary / secondary special,Civil marriage,House / apartment,552,0,0,0,2.0,5.0,2.0,30
196,1,1,1,0,12.218500103788143,Working,Secondary / secondary special,Married,House / apartment,2289,0,0,0,2.0,36.0,2.0,27
197,1,0,1,1,12.793862088206213,Working,Secondary / secondary special,Civil marriage,House / apartment,2554,0,0,0,3.0,49.0,2.0,31
198,0,0,1,2,12.323860125621126,State servant,Secondary / secondary special,Married,House / apartment,5394,1,0,0,4.0,26.0,1.0,35
199,0,0,1,2,12.793862088206213,Working,Secondary / secondary special,Married,House / apartment,658,0,1,0,4.0,11.0,2.0,43
200,1,1,1,0,12.218500103788143,Working,Higher education,Married,House / apartment,1953,0,0,0,2.0,3.0,1.0,40
201,0,1,1,0,12.323860125621126,Working,Higher education,Married,House / apartment,3717,0,0,0,2.0,10.0,1.0,33
202,0,0,0,0,11.813037464800539,Working,Higher education,Married,House / apartment,4447,1,0,0,2.0,8.0,1.0,38
203,1,1,1,0,12.793862088206213,Commercial associate,Secondary / secondary special,Married,House / apartment,4031,0,1,0,2.0,41.0,2.0,31
204,1,0,0,0,12.854486546624395,Working,Secondary / secondary special,Married,Municipal apartment,1207,1,1,0,2.0,46.0,1.0,47
205,0,0,1,0,12.049424683420915,Working,Secondary / secondary special,Single / not married,Rented apartment,673,0,0,0,1.0,28.0,2.0,46
206,1,0,0,0,12.586223364451623,State servant,Secondary / secondary special,Married,House / apartment,2745,1,1,0,2.0,48.0,1.0,31
207,0,1,0,0,11.87757552297847,Working,Secondary / secondary special,Widow,House / apartment,1345,0,0,0,1.0,6.0,2.0,39
208,0,0,0,2,11.630717389475995,State servant,Higher education,Married,House / apartment,2721,0,0,1,4.0,3.0,0.0,31
209,0,0,1,0,11.302216779257382,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,0,2.0,18.0,2.0,58
210,0,1,1,1,12.323860125621126,Working,Higher education,Separated,House / apartment,1672,0,0,0,2.0,-0.0,1.0,40
211,0,0,1,0,12.660331092405906,Commercial associate,Higher education,Separated,House / apartment,2380,1,1,0,1.0,52.0,2.0,48
212,1,1,1,1,12.965711906537503,Working,Higher education,Married,House / apartment,354,0,0,0,3.0,3.0,1.0,41
213,0,0,0,0,11.274046255019954,Working,Secondary / secondary special,Married,With parents,2045,1,0,0,2.0,13.0,2.0,33
214,0,0,0,0,11.119897691565697,Pensioner,Higher education,Widow,House / apartment,0,0,0,0,1.0,30.0,0.0,65
215,0,0,1,0,11.707677772181546,Working,Secondary / secondary special,Married,House / apartment,2011,0,0,0,2.0,13.0,2.0,60
216,0,0,0,0,11.87757552297847,Working,Secondary / secondary special,Single / not married,House / apartment,7310,1,1,0,1.0,42.0,2.0,46
217,0,0,1,0,11.813037464800539,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,2.0,45.0,1.0,61
